"","zip_code","COVID_Week_20210207","COVID_Week_20210131","COVID_Week_20210124","COVID_Week_20210117","COVID_Week_20210110","COVID_Week_20210103","COVID_Week_20201227","COVID_Week_20201220","COVID_Week_20201213","COVID_Week_20201206"
"1","60601","5","10","12","16","27","49","25","34","57","27"
"2","60602","3","1","8","0","2","5","2","3","2","1"
"3","60603","2","2","1","1","7","2","2","5","1","1"
"4","60604","1","0","2","0","3","3","1","3","0","2"
"5","60605","25","30","20","25","53","69","48","43","65","78"
"6","60606","3","3","7","6","6","11","11","7","8","18"
"7","60607","19","23","30","54","70","97","75","56","62","75"
"8","60608","58","73","124","164","180","198","190","120","199","329"
"9","60609","66","82","102","139","147","193","170","136","190","272"
"10","60610","41","38","61","73","71","127","77","77","78","113"
"11","60611","15","26","27","41","45","73","77","36","72","61"
"12","60612","21","24","40","59","102","104","101","55","104","140"
"13","60613","27","64","67","75","72","141","110","100","99","138"
"14","60614","64","74","77","96","134","230","132","121","136","193"
"15","60615","17","44","44","36","65","64","59","53","66","86"
"16","60616","36","52","59","90","90","140","129","132","210","128"
"17","60617","62","65","130","163","205","242","210","164","237","313"
"18","60618","71","127","133","135","197","294","272","210","237","318"
"19","60619","40","49","68","73","106","141","105","119","152","167"
"20","60620","44","66","79","107","134","162","128","105","168","210"
"21","60621","13","20","30","64","59","67","50","45","53","110"
"22","60622","44","73","83","86","135","192","188","126","144","199"
"23","60623","59","102","131","170","203","288","236","180","332","390"
"24","60624","27","25","29","47","75","78","71","72","99","113"
"25","60625","74","79","119","121","140","191","191","190","238","280"
"26","60626","34","46","54","88","127","143","144","107","134","131"
"27","60628","39","51","80","83","108","132","120","94","119","166"
"28","60629","93","136","206","293","393","509","496","328","534","686"
"29","60630","62","88","106","137","183","176","168","163","222","220"
"30","60631","36","29","72","74","108","119","107","105","105","93"
"31","60632","71","111","186","217","266","364","389","279","380","583"
"32","60633","8","13","13","21","34","34","35","14","29","52"
"33","60634","122","134","169","210","247","339","348","315","368","477"
"34","60636","31","27","44","53","54","90","70","73","107","145"
"35","60637","29","42","57","68","86","102","71","72","105","118"
"36","60638","56","62","93","148","189","253","256","157","221","315"
"37","60639","80","149","210","224","311","469","439","344","496","652"
"38","60640","43","61","67","81","104","207","156","136","167","211"
"39","60641","79","101","127","177","259","257","245","235","333","416"
"40","60642","24","25","45","30","45","85","53","48","68","67"
"41","60643","44","68","60","79","125","147","130","97","124","168"
"42","60644","40","52","56","79","107","109","115","79","119","147"
"43","60645","50","51","67","91","116","174","160","144","186","219"
"44","60646","41","52","47","68","77","116","105","80","73","98"
"45","60647","81","85","153","145","216","328","248","229","301","367"
"46","60649","32","43","53","59","78","100","88","88","87","122"
"47","60651","60","104","114","154","212","224","173","180","259","336"
"48","60652","43","62","74","95","124","192","156","113","144","186"
"49","60653","26","38","50","48","46","79","63","55","82","112"
"50","60654","24","23","27","25","58","90","56","39","55","71"
"51","60655","31","61","53","65","95","141","113","83","91","135"
"52","60656","36","43","47","65","103","94","100","81","106","109"
"53","60657","69","88","90","100","156","228","131","117","112","163"
"54","60659","53","48","48","101","113","129","114","96","138","178"
"55","60660","25","44","41","66","79","101","91","64","79","99"
"56","60661","12","12","18","13","15","42","17","16","20","19"
"57","60666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","60707","12","26","43","29","51","62","54","54","72","106"
"59","60827","1","3","10","7","5","8","10","5","15","14"
"60","Unknown","19","18","31","38","58","51","55","59","53","54"
