zip,cases_weekly_2020-03-01,cases_weekly_2020-03-08,cases_weekly_2020-03-15,cases_weekly_2020-03-22,cases_weekly_2020-03-29,cases_weekly_2020-04-05,cases_weekly_2020-04-12,cases_weekly_2020-04-19,cases_weekly_2020-04-26,cases_weekly_2020-05-03,cases_weekly_2020-05-10,cases_weekly_2020-05-17,cases_weekly_2020-05-24,cases_weekly_2020-05-31,cases_weekly_2020-06-07,cases_weekly_2020-06-14,cases_weekly_2020-06-21,cases_weekly_2020-06-28,cases_weekly_2020-07-05,cases_weekly_2020-07-12,cases_weekly_2020-07-19,cases_weekly_2020-07-26,cases_weekly_2020-08-02,cases_weekly_2020-08-09,cases_weekly_2020-08-16,cases_weekly_2020-08-23,cases_weekly_2020-08-30,cases_weekly_2020-09-06,cases_weekly_2020-09-13,cases_weekly_2020-09-20,cases_weekly_2020-09-27,cases_weekly_2020-10-04,cases_weekly_2020-10-11,cases_weekly_2020-10-18,cases_weekly_2020-10-25,cases_weekly_2020-11-01,cases_weekly_2020-11-08,cases_weekly_2020-11-15,cases_weekly_2020-11-22,cases_weekly_2020-11-29,cases_weekly_2020-12-06,cases_weekly_2020-12-13,cases_weekly_2020-12-20,cases_cumulative_2020-03-01,cases_cumulative_2020-03-08,cases_cumulative_2020-03-15,cases_cumulative_2020-03-22,cases_cumulative_2020-03-29,cases_cumulative_2020-04-05,cases_cumulative_2020-04-12,cases_cumulative_2020-04-19,cases_cumulative_2020-04-26,cases_cumulative_2020-05-03,cases_cumulative_2020-05-10,cases_cumulative_2020-05-17,cases_cumulative_2020-05-24,cases_cumulative_2020-05-31,cases_cumulative_2020-06-07,cases_cumulative_2020-06-14,cases_cumulative_2020-06-21,cases_cumulative_2020-06-28,cases_cumulative_2020-07-05,cases_cumulative_2020-07-12,cases_cumulative_2020-07-19,cases_cumulative_2020-07-26,cases_cumulative_2020-08-02,cases_cumulative_2020-08-09,cases_cumulative_2020-08-16,cases_cumulative_2020-08-23,cases_cumulative_2020-08-30,cases_cumulative_2020-09-06,cases_cumulative_2020-09-13,cases_cumulative_2020-09-20,cases_cumulative_2020-09-27,cases_cumulative_2020-10-04,cases_cumulative_2020-10-11,cases_cumulative_2020-10-18,cases_cumulative_2020-10-25,cases_cumulative_2020-11-01,cases_cumulative_2020-11-08,cases_cumulative_2020-11-15,cases_cumulative_2020-11-22,cases_cumulative_2020-11-29,cases_cumulative_2020-12-06,cases_cumulative_2020-12-13,cases_cumulative_2020-12-20,case_rate_weekly_2020-03-01,case_rate_weekly_2020-03-08,case_rate_weekly_2020-03-15,case_rate_weekly_2020-03-22,case_rate_weekly_2020-03-29,case_rate_weekly_2020-04-05,case_rate_weekly_2020-04-12,case_rate_weekly_2020-04-19,case_rate_weekly_2020-04-26,case_rate_weekly_2020-05-03,case_rate_weekly_2020-05-10,case_rate_weekly_2020-05-17,case_rate_weekly_2020-05-24,case_rate_weekly_2020-05-31,case_rate_weekly_2020-06-07,case_rate_weekly_2020-06-14,case_rate_weekly_2020-06-21,case_rate_weekly_2020-06-28,case_rate_weekly_2020-07-05,case_rate_weekly_2020-07-12,case_rate_weekly_2020-07-19,case_rate_weekly_2020-07-26,case_rate_weekly_2020-08-02,case_rate_weekly_2020-08-09,case_rate_weekly_2020-08-16,case_rate_weekly_2020-08-23,case_rate_weekly_2020-08-30,case_rate_weekly_2020-09-06,case_rate_weekly_2020-09-13,case_rate_weekly_2020-09-20,case_rate_weekly_2020-09-27,case_rate_weekly_2020-10-04,case_rate_weekly_2020-10-11,case_rate_weekly_2020-10-18,case_rate_weekly_2020-10-25,case_rate_weekly_2020-11-01,case_rate_weekly_2020-11-08,case_rate_weekly_2020-11-15,case_rate_weekly_2020-11-22,case_rate_weekly_2020-11-29,case_rate_weekly_2020-12-06,case_rate_weekly_2020-12-13,case_rate_weekly_2020-12-20
60601,,,10,9,5,5,3,7,13,7,3,2,2,1,6,5,4,3,4,6,8,9,4,7,7,13,14,32,8,8,4,7,36,28,38,58,75,52,47,45,26,56,26,,,14,23,28,33,36,43,56,63,66,68,70,71,77,82,86,89,93,99,107,116,120,127,134,147,161,193,201,209,213,220,256,284,322,380,455,507,554,599,625,681,707,,,68.1,61.3,34.1,34.1,20.4,47.7,88.6,47.7,20.4,13.6,13.6,6.8,40.9,34.1,27.3,20.4,27.3,40.9,54.5,61.3,27.3,47.7,47.7,88.6,95.4,218.1,54.5,54.5,27.3,47.7,245.3,190.8,258.9,395.2,511.1,354.3,320.3,306.6,177.2,381.6,177.2
60602,,,,,,,2,0,0,3,3,2,0,0,0,0,1,1,2,0,1,0,0,1,0,1,0,0,1,0,1,1,6,2,3,8,4,5,7,2,1,2,3,,,,,,,5,5,5,8,11,13,13,13,13,13,14,15,17,17,18,18,18,19,19,20,20,20,21,21,22,23,29,31,34,42,46,51,58,60,61,63,66,,,,,,,160.8,0,0,241.2,241.2,160.8,0,0,0,0,80.4,80.4,160.8,0,80.4,0,0,80.4,0,80.4,0,0,80.4,0,80.4,80.4,482.3,160.8,241.2,643.1,321.5,401.9,562.7,160.8,80.4,160.8,241.2
60603,,,,,,,,,,,1,1,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,2,0,0,0,0,2,0,3,0,5,9,5,3,1,2,2,,,,,,,,,,,5,6,6,6,6,6,6,6,6,8,9,9,10,11,11,11,11,13,13,13,13,13,15,15,18,18,23,32,37,40,41,43,45,,,,,,,,,,,85.2,85.2,0,0,0,0,0,0,0,170.4,85.2,0,85.2,85.2,0,0,0,170.4,0,0,0,0,170.4,0,255.5,0,425.9,766.6,425.9,255.5,85.2,170.4,170.4
60604,,,,,,,,2,5,2,3,3,2,1,1,0,1,0,0,0,0,0,0,0,4,1,1,0,0,0,0,2,1,1,6,9,8,8,6,2,2,0,2,,,,,,,,6,11,13,16,19,21,22,23,23,24,24,24,24,24,24,24,24,28,29,30,30,30,30,30,32,33,34,40,49,57,65,71,73,75,75,77,,,,,,,,255.8,639.4,255.8,383.6,383.6,255.8,127.9,127.9,0,127.9,0,0,0,0,0,0,0,511.5,127.9,127.9,0,0,0,0,255.8,127.9,127.9,767.3,1150.9,1023,1023,767.3,255.8,255.8,0,255.8
60605,,,20,16,13,13,28,25,17,14,6,14,18,7,4,17,14,6,12,16,14,14,13,8,16,8,22,11,16,12,11,17,44,73,80,105,117,157,58,76,74,62,42,,,23,39,52,65,93,118,135,149,155,169,187,194,198,215,229,235,247,263,277,291,304,312,328,336,358,369,385,397,408,425,469,542,622,727,844,1001,1059,1135,1209,1271,1313,,,72.7,58.1,47.2,47.2,101.7,90.8,61.8,50.9,21.8,50.9,65.4,25.4,14.5,61.8,50.9,21.8,43.6,58.1,50.9,50.9,47.2,29.1,58.1,29.1,79.9,40,58.1,43.6,40,61.8,159.9,265.3,290.7,381.6,425.2,570.5,210.8,276.2,268.9,225.3,152.6
60606,,,,,1,2,6,2,2,2,1,0,2,5,0,0,2,4,3,3,7,0,3,6,3,3,2,1,3,2,2,5,5,11,14,19,21,15,17,9,16,9,9,,,,,5,7,13,15,17,19,20,20,22,27,27,27,29,33,36,39,46,46,49,55,58,61,63,64,67,69,71,76,81,92,106,125,146,161,178,187,203,212,221,,,,,32.2,64.5,193.5,64.5,64.5,64.5,32.2,0,64.5,161.2,0,0,64.5,129,96.7,96.7,225.7,0,96.7,193.5,96.7,96.7,64.5,32.2,96.7,64.5,64.5,161.2,161.2,354.7,451.5,612.7,677.2,483.7,548.2,290.2,516,290.2,290.2
60607,,,14,29,33,205,37,18,49,19,14,17,4,5,8,11,15,8,16,14,13,16,31,25,21,12,20,21,23,40,14,32,57,84,114,133,156,107,82,91,72,52,48,,,17,46,79,284,321,339,388,407,421,438,442,447,455,466,481,489,505,519,532,548,579,604,625,637,657,678,701,741,755,787,844,928,1042,1175,1331,1438,1520,1611,1683,1735,1783,,,47.3,98,111.5,692.8,125,60.8,165.6,64.2,47.3,57.4,13.5,16.9,27,37.2,50.7,27,54.1,47.3,43.9,54.1,104.8,84.5,71,40.6,67.6,71,77.7,135.2,47.3,108.1,192.6,283.9,385.3,449.5,527.2,361.6,277.1,307.5,243.3,175.7,162.2
60608,,,13,76,75,123,127,194,350,232,190,172,104,75,48,34,27,36,47,39,57,50,78,80,104,81,59,82,74,69,70,106,124,182,290,465,504,452,296,415,320,183,108,,,15,91,166,289,416,610,960,1192,1382,1554,1658,1733,1781,1815,1842,1878,1925,1964,2021,2071,2149,2229,2333,2414,2473,2555,2629,2698,2768,2874,2998,3180,3470,3935,4439,4891,5187,5602,5922,6105,6213,,,16.4,96,94.7,155.3,160.3,244.9,441.9,292.9,239.9,217.2,131.3,94.7,60.6,42.9,34.1,45.5,59.3,49.2,72,63.1,98.5,101,131.3,102.3,74.5,103.5,93.4,87.1,88.4,133.8,156.6,229.8,366.1,587.1,636.3,570.7,373.7,524,404,231,136.4
60609,,,13,46,52,78,152,221,302,218,245,230,138,54,46,25,39,44,50,49,43,65,53,56,79,66,58,50,49,56,70,70,122,183,240,364,441,333,226,327,263,187,132,,,14,60,112,190,342,563,865,1083,1328,1558,1696,1750,1796,1821,1860,1904,1954,2003,2046,2111,2164,2220,2299,2365,2423,2473,2522,2578,2648,2718,2840,3023,3263,3627,4068,4401,4627,4954,5217,5404,5536,,,21.1,74.8,84.6,126.8,247.2,359.4,491.1,354.5,398.4,374,224.4,87.8,74.8,40.7,63.4,71.6,81.3,79.7,69.9,105.7,86.2,91.1,128.5,107.3,94.3,81.3,79.7,91.1,113.8,113.8,198.4,297.6,390.3,591.9,717.1,541.5,367.5,531.8,427.7,304.1,214.7
60610,,5,24,34,19,15,15,22,22,22,29,24,17,11,6,9,26,23,27,22,27,20,22,20,37,18,33,35,45,35,34,46,59,84,184,221,254,180,93,118,106,71,73,,5,29,63,82,97,112,134,156,178,207,231,248,259,265,274,300,323,350,372,399,419,441,461,498,516,549,584,629,664,698,744,803,887,1071,1292,1546,1726,1819,1937,2043,2114,2187,,12.8,61.5,87.1,48.7,38.4,38.4,56.4,56.4,56.4,74.3,61.5,43.6,28.2,15.4,23.1,66.6,58.9,69.2,56.4,69.2,51.3,56.4,51.3,94.8,46.1,84.6,89.7,115.3,89.7,87.1,117.9,151.2,215.3,471.6,566.4,651,461.3,238.3,302.4,271.7,182,187.1
